Dimen	SC2_calls	Seed1	Seed2	"[lb,ub]"	REF-LU(A)_s	CRU_s	ROU_s	Speedup(REF-LU/CRU)	Speedup(REF-LU/ROU)	Speedup(ROU/CRU)	Check
100	11087	999	-123	"[-100,100]"	0.099	0.005	0.014	19.8	7.07143	2.8	1
100	11161	996	1001	"[-100,100]"	0.086	0.005	0.014	17.2	6.14286	2.8	1
100	32764	990	1000	"[-100,100]"	0.087	0.005	0.014	17.4	6.21429	2.8	1
100	0	981	996	"[-100,100]"	0.085	0.005	0.013	17	6.53846	2.6	1
100	0	969	989	"[-100,100]"	0.071	0.004	0.011	17.75	6.45455	2.75	1
100	32764	954	979	"[-100,100]"	0.072	0.004	0.011	18	6.54545	2.75	1
100	0	936	966	"[-100,100]"	0.071	0.004	0.011	17.75	6.45455	2.75	1
100	11062	915	950	"[-100,100]"	0.072	0.004	0.011	18	6.54545	2.75	1
100	0	891	931	"[-100,100]"	0.071	0.004	0.011	17.75	6.45455	2.75	1
100	32766	864	909	"[-100,100]"	0.102	0.005	0.012	20.4	8.5	2.4	1
100	0	834	884	"[-100,100]"	0.072	0.005	0.011	14.4	6.54545	2.2	1
100	11121	801	856	"[-100,100]"	0.071	0.004	0.012	17.75	5.91667	3	1
100	0	765	825	"[-100,100]"	0.072	0.004	0.012	18	6	3	1
100	32764	726	791	"[-100,100]"	0.071	0.004	0.012	17.75	5.91667	3	1
100	0	684	754	"[-100,100]"	0.07	0.004	0.012	17.5	5.83333	3	1
100	0	639	714	"[-100,100]"	0.07	0.004	0.012	17.5	5.83333	3	1
100	0	591	671	"[-100,100]"	0.072	0.004	0.011	18	6.54545	2.75	1
100	32764	540	625	"[-100,100]"	0.071	0.004	0.011	17.75	6.45455	2.75	1
100	0	486	576	"[-100,100]"	0.073	0.005	0.011	14.6	6.63636	2.2	1
100	11175	429	524	"[-100,100]"	0.07	0.004	0.011	17.5	6.36364	2.75	1
100	0	369	469	"[-100,100]"	0.074	0.004	0.012	18.5	6.16667	3	1
100	0	306	411	"[-100,100]"	0.071	0.004	0.011	17.75	6.45455	2.75	1
100	11000	240	350	"[-100,100]"	0.072	0.004	0.011	18	6.54545	2.75	1
100	0	171	286	"[-100,100]"	0.07	0.004	0.011	17.5	6.36364	2.75	1
100	32767	99	219	"[-100,100]"	0.072	0.004	0.012	18	6	3	1
100	32766	24	149	"[-100,100]"	0.072	0.004	0.011	18	6.54545	2.75	1
100	0	-54	76	"[-100,100]"	0.072	0.005	0.012	14.4	6	2.4	1
100	11015	-135	0	"[-100,100]"	0.072	0.004	0.012	18	6	3	1
100	32767	-219	-79	"[-100,100]"	0.071	0.004	0.011	17.75	6.45455	2.75	1
100	0	-306	-161	"[-100,100]"	0.071	0.004	0.011	17.75	6.45455	2.75	1
200	0	-396	-246	"[-100,100]"	1.132	0.037	0.079	30.5946	14.3291	2.13514	1
200	11052	-399	-394	"[-100,100]"	1.167	0.04	0.081	29.175	14.4074	2.025	1
200	32765	-405	-395	"[-100,100]"	1.126	0.036	0.078	31.2778	14.4359	2.16667	1
200	32765	-414	-399	"[-100,100]"	1.082	0.036	0.077	30.0556	14.0519	2.13889	1
200	11173	-426	-406	"[-100,100]"	1.112	0.036	0.078	30.8889	14.2564	2.16667	1
200	0	-441	-416	"[-100,100]"	1.115	0.037	0.079	30.1351	14.1139	2.13514	1
200	0	-459	-429	"[-100,100]"	1.106	0.037	0.079	29.8919	14	2.13514	1
200	11131	-480	-445	"[-100,100]"	1.146	0.038	0.078	30.1579	14.6923	2.05263	1
200	32767	-504	-464	"[-100,100]"	1.077	0.037	0.079	29.1081	13.6329	2.13514	1
200	32765	-531	-486	"[-100,100]"	1.121	0.037	0.078	30.2973	14.3718	2.10811	1
200	0	-561	-511	"[-100,100]"	1.118	0.037	0.078	30.2162	14.3333	2.10811	1
200	0	-594	-539	"[-100,100]"	1.135	0.037	0.079	30.6757	14.3671	2.13514	1
200	0	-630	-570	"[-100,100]"	1.237	0.041	0.083	30.1707	14.9036	2.02439	1
200	32767	-669	-604	"[-100,100]"	1.154	0.037	0.079	31.1892	14.6076	2.13514	1
200	0	-711	-641	"[-100,100]"	1.128	0.037	0.078	30.4865	14.4615	2.10811	1
200	0	-756	-681	"[-100,100]"	1.114	0.037	0.078	30.1081	14.2821	2.10811	1
200	0	-804	-724	"[-100,100]"	1.12	0.036	0.078	31.1111	14.359	2.16667	1
200	0	-855	-770	"[-100,100]"	1.147	0.037	0.079	31	14.519	2.13514	1
200	32765	-909	-819	"[-100,100]"	1.058	0.036	0.077	29.3889	13.7403	2.13889	1
200	11141	-966	-871	"[-100,100]"	1.14	0.037	0.078	30.8108	14.6154	2.10811	1
200	0	-1026	-926	"[-100,100]"	1.116	0.037	0.079	30.1622	14.1266	2.13514	1
200	0	-1089	-984	"[-100,100]"	1.191	0.037	0.078	32.1892	15.2692	2.10811	1
200	0	-1155	-1045	"[-100,100]"	1.103	0.037	0.079	29.8108	13.962	2.13514	1
200	32765	-1224	-1109	"[-100,100]"	1.158	0.037	0.079	31.2973	14.6582	2.13514	1
200	32765	-1296	-1176	"[-100,100]"	1.15	0.037	0.079	31.0811	14.557	2.13514	1
200	32764	-1371	-1246	"[-100,100]"	1.114	0.037	0.078	30.1081	14.2821	2.10811	1
200	32765	-1449	-1319	"[-100,100]"	1.057	0.037	0.079	28.5676	13.3797	2.13514	1
200	32764	-1530	-1395	"[-100,100]"	1.138	0.037	0.079	30.7568	14.4051	2.13514	1
200	0	-1614	-1474	"[-100,100]"	1.075	0.037	0.078	29.0541	13.7821	2.10811	1
200	11107	-1701	-1556	"[-100,100]"	1.12	0.037	0.079	30.2703	14.1772	2.13514	1
300	32765	-1791	-1641	"[-100,100]"	6.245	0.137	0.275	45.5839	22.7091	2.0073	1
300	11049	-1794	-1789	"[-100,100]"	6.269	0.138	0.278	45.4275	22.5504	2.01449	1
300	0	-1800	-1790	"[-100,100]"	6.257	0.137	0.273	45.6715	22.9194	1.9927	1
300	11139	-1809	-1794	"[-100,100]"	6.18	0.137	0.275	45.1095	22.4727	2.0073	1
300	0	-1821	-1801	"[-100,100]"	6.364	0.137	0.275	46.4526	23.1418	2.0073	1
300	0	-1836	-1811	"[-100,100]"	6.121	0.137	0.275	44.6788	22.2582	2.0073	1
300	0	-1854	-1824	"[-100,100]"	6.173	0.137	0.273	45.0584	22.6117	1.9927	1
300	10972	-1875	-1840	"[-100,100]"	6.124	0.137	0.273	44.7007	22.4322	1.9927	1
300	0	-1899	-1859	"[-100,100]"	6.166	0.136	0.274	45.3382	22.5036	2.01471	1
300	0	-1926	-1881	"[-100,100]"	6.12	0.137	0.273	44.6715	22.4176	1.9927	1
300	0	-1956	-1906	"[-100,100]"	6.067	0.136	0.274	44.6103	22.1423	2.01471	1
300	0	-1989	-1934	"[-100,100]"	6.15	0.137	0.274	44.8905	22.4453	2	1
300	32764	-2025	-1965	"[-100,100]"	6.145	0.136	0.273	45.1838	22.5092	2.00735	1
300	32766	-2064	-1999	"[-100,100]"	5.96	0.135	0.273	44.1481	21.8315	2.02222	1
300	10934	-2106	-2036	"[-100,100]"	6.1	0.136	0.273	44.8529	22.3443	2.00735	1
300	32767	-2151	-2076	"[-100,100]"	6.354	0.138	0.274	46.0435	23.1898	1.98551	1
300	11115	-2199	-2119	"[-100,100]"	6.09	0.136	0.273	44.7794	22.3077	2.00735	1
300	0	-2250	-2165	"[-100,100]"	6.373	0.136	0.273	46.8603	23.3443	2.00735	1
300	0	-2304	-2214	"[-100,100]"	6.25	0.138	0.277	45.2899	22.5632	2.00725	1
300	0	-2361	-2266	"[-100,100]"	6.16	0.139	0.281	44.3165	21.9217	2.02158	1
300	0	-2421	-2321	"[-100,100]"	6.145	0.136	0.273	45.1838	22.5092	2.00735	1
