Dimen	SC2_calls	Seed1	Seed2	"[lb,ub]"	REF-LU(A)_s	CRU_s	ROU_s	Speedup(REF-LU/CRU)	Speedup(REF-LU/ROU)	Speedup(ROU/CRU)	Check
300	0	-2484	-2379	"[-100,100]"	6.158	0.137	0.273	44.9489	22.5568	1.9927	1
300	0	-2550	-2440	"[-100,100]"	6.378	0.137	0.275	46.5547	23.1927	2.0073	1
300	10976	-2619	-2504	"[-100,100]"	6.029	0.136	0.273	44.3309	22.0842	2.00735	1
300	11130	-2691	-2571	"[-100,100]"	6.38	0.137	0.273	46.5693	23.37	1.9927	1
300	32764	-2766	-2641	"[-100,100]"	6.339	0.136	0.273	46.6103	23.2198	2.00735	1
300	10925	-2844	-2714	"[-100,100]"	6.318	0.138	0.279	45.7826	22.6452	2.02174	1
300	0	-2925	-2790	"[-100,100]"	6.305	0.135	0.272	46.7037	23.1801	2.01481	1
300	11093	-3009	-2869	"[-100,100]"	6.349	0.136	0.273	46.6838	23.2564	2.00735	1
300	32765	-3096	-2951	"[-100,100]"	6.277	0.136	0.273	46.1544	22.9927	2.00735	1
400	32764	-3186	-3036	"[-100,100]"	21.247	0.362	0.708	58.6934	30.0099	1.9558	1
400	32764	-3189	-3184	"[-100,100]"	21.21	0.371	0.732	57.1698	28.9754	1.97305	1
400	32767	-3195	-3185	"[-100,100]"	22.308	0.37	0.722	60.2919	30.8975	1.95135	1
400	11027	-3204	-3189	"[-100,100]"	21.686	0.372	0.741	58.2957	29.2659	1.99194	1
400	0	-3216	-3196	"[-100,100]"	22.213	0.385	0.735	57.6961	30.2218	1.90909	1
400	0	-3231	-3206	"[-100,100]"	21.439	0.37	0.731	57.9432	29.3283	1.97568	1
400	32765	-3249	-3219	"[-100,100]"	22.107	0.386	0.736	57.272	30.0367	1.90674	1
400	32765	-3270	-3235	"[-100,100]"	21.993	0.384	0.737	57.2734	29.8412	1.91927	1
400	11083	-3294	-3254	"[-100,100]"	21.948	0.381	0.735	57.6063	29.8612	1.92913	1
400	32767	-3321	-3276	"[-100,100]"	21.946	0.383	0.739	57.3003	29.6969	1.9295	1
400	11115	-3351	-3301	"[-100,100]"	21.925	0.38	0.75	57.6974	29.2333	1.97368	1
400	10925	-3384	-3329	"[-100,100]"	22.295	0.375	0.732	59.4533	30.4577	1.952	1
400	0	-3420	-3360	"[-100,100]"	22.085	0.387	0.747	57.0672	29.5649	1.93023	1
400	32765	-3459	-3394	"[-100,100]"	21.87	0.375	0.736	58.32	29.7147	1.96267	1
400	0	-3501	-3431	"[-100,100]"	21.503	0.365	0.713	58.9123	30.1585	1.95342	1
400	11089	-3546	-3471	"[-100,100]"	21.145	0.363	0.708	58.2507	29.8658	1.95041	1
400	0	-3594	-3514	"[-100,100]"	21.359	0.367	0.718	58.1989	29.7479	1.9564	1
400	11001	-3645	-3560	"[-100,100]"	21.377	0.368	0.715	58.0897	29.8979	1.94293	1
400	11151	-3699	-3609	"[-100,100]"	21.34	0.37	0.738	57.6757	28.916	1.99459	1
400	0	-3756	-3661	"[-100,100]"	22.521	0.375	0.736	60.056	30.5992	1.96267	1
400	0	-3816	-3716	"[-100,100]"	21.939	0.385	0.742	56.9844	29.5674	1.92727	1
400	0	-3879	-3774	"[-100,100]"	21.776	0.37	0.725	58.8541	30.0359	1.95946	1
400	0	-3945	-3835	"[-100,100]"	22.047	0.388	0.746	56.8222	29.5536	1.92268	1
400	32764	-4014	-3899	"[-100,100]"	22.155	0.389	0.743	56.9537	29.8183	1.91003	1
400	32764	-4086	-3966	"[-100,100]"	21.804	0.38	0.741	57.3789	29.4251	1.95	1
400	0	-4161	-4036	"[-100,100]"	22.048	0.386	0.745	57.1192	29.5946	1.93005	1
400	0	-4239	-4109	"[-100,100]"	22.358	0.373	0.739	59.941	30.2544	1.98123	1
400	0	-4320	-4185	"[-100,100]"	22.401	0.374	0.74	59.8957	30.2716	1.97861	1
400	0	-4404	-4264	"[-100,100]"	22.278	0.379	0.739	58.781	30.1461	1.94987	1
400	0	-4491	-4346	"[-100,100]"	22.052	0.388	0.739	56.8351	29.8403	1.90464	1
500	32764	-4581	-4431	"[-100,100]"	58.883	0.825	1.586	71.3733	37.1267	1.92242	1
500	0	-4584	-4579	"[-100,100]"	59.722	0.824	1.591	72.4782	37.5374	1.93083	1
500	0	-4590	-4580	"[-100,100]"	59.915	0.817	1.573	73.3354	38.0896	1.92534	1
500	0	-4599	-4584	"[-100,100]"	59.274	0.82	1.589	72.2854	37.3027	1.9378	1
500	0	-4611	-4591	"[-100,100]"	58.97	0.831	1.591	70.9627	37.0647	1.91456	1
500	11068	-4626	-4601	"[-100,100]"	59.392	0.827	1.594	71.8162	37.2597	1.92745	1
500	0	-4644	-4614	"[-100,100]"	59.701	0.822	1.589	72.629	37.5714	1.93309	1
500	10982	-4665	-4630	"[-100,100]"	58.691	0.822	1.589	71.4002	36.9358	1.93309	1
500	32764	-4689	-4649	"[-100,100]"	59.712	0.822	1.591	72.6423	37.5311	1.93552	1
500	0	-4716	-4671	"[-100,100]"	59.359	0.813	1.575	73.0123	37.6883	1.93727	1
500	0	-4746	-4696	"[-100,100]"	59.727	0.821	1.596	72.7491	37.4229	1.94397	1
500	32766	-4779	-4724	"[-100,100]"	59.935	0.823	1.606	72.825	37.3194	1.9514	1
500	32766	-4815	-4755	"[-100,100]"	59.645	0.831	1.595	71.775	37.395	1.91937	1
500	32765	-4854	-4789	"[-100,100]"	59.058	0.822	1.592	71.8467	37.0967	1.93674	1
500	0	-4896	-4826	"[-100,100]"	58.271	0.815	1.587	71.4982	36.7177	1.94724	1
500	32767	-4941	-4866	"[-100,100]"	58.358	0.814	1.59	71.6929	36.7031	1.95332	1
500	0	-4989	-4909	"[-100,100]"	59.051	0.827	1.723	71.4039	34.2722	2.08343	1
500	0	-5040	-4955	"[-100,100]"	60.021	0.822	1.597	73.0182	37.5836	1.94282	1
500	0	-5094	-5004	"[-100,100]"	59.263	0.814	1.572	72.8047	37.6991	1.9312	1
500	0	-5151	-5056	"[-100,100]"	59.517	0.823	1.588	72.3171	37.4792	1.92953	1
500	0	-5211	-5111	"[-100,100]"	59.111	0.821	1.594	71.9988	37.0834	1.94153	1
500	11127	-5274	-5169	"[-100,100]"	58.997	0.823	1.593	71.6853	37.0352	1.9356	1
500	0	-5340	-5230	"[-100,100]"	58.929	0.819	1.598	71.9524	36.8767	1.95116	1
500	11177	-5409	-5294	"[-100,100]"	58.281	0.824	1.592	70.7294	36.6087	1.93204	1
500	32765	-5481	-5361	"[-100,100]"	58.523	0.814	1.582	71.8956	36.993	1.94349	1
500	0	-5556	-5431	"[-100,100]"	60.285	0.823	1.585	73.2503	38.0347	1.92588	1
500	0	-5634	-5504	"[-100,100]"	59.526	0.827	1.588	71.9782	37.4849	1.92019	1
500	0	-5715	-5580	"[-100,100]"	59.241	0.816	1.595	72.5993	37.1417	1.95466	1
500	0	-5799	-5659	"[-100,100]"	58.848	0.814	1.586	72.2948	37.1047	1.9484	1
500	32766	-5886	-5741	"[-100,100]"	59.772	0.83	1.595	72.0145	37.4746	1.92169	1
600	0	-5976	-5826	"[-100,100]"	136.015	1.598	3.029	85.1158	44.9043	1.89549	1
600	11034	-5979	-5974	"[-100,100]"	136.297	1.602	3.036	85.0793	44.8936	1.89513	1
600	11165	-5985	-5975	"[-100,100]"	135.635	1.601	3.021	84.7189	44.8974	1.88695	1
600	0	-5994	-5979	"[-100,100]"	134.548	1.595	3.025	84.3561	44.4787	1.89655	1
600	0	-6006	-5986	"[-100,100]"	134.146	1.592	3.03	84.2626	44.2726	1.90327	1
600	0	-6021	-5996	"[-100,100]"	135.225	1.592	3.025	84.9403	44.7025	1.90013	1
600	11159	-6039	-6009	"[-100,100]"	134.885	1.591	3.012	84.78	44.7825	1.89315	1
600	11127	-6060	-6025	"[-100,100]"	135.316	1.589	3.017	85.158	44.8512	1.89868	1
600	0	-6084	-6044	"[-100,100]"	135.063	1.592	3.018	84.8386	44.7525	1.89573	1
600	11066	-6111	-6066	"[-100,100]"	135.591	1.596	3.018	84.9568	44.9274	1.89098	1
600	0	-6141	-6091	"[-100,100]"	134.921	1.591	3.011	84.8026	44.8094	1.89252	1
600	0	-6174	-6119	"[-100,100]"	136.536	1.599	3.022	85.3884	45.1807	1.88993	1
600	32764	-6210	-6150	"[-100,100]"	134.923	1.604	3.006	84.1166	44.8846	1.87406	1
600	0	-6249	-6184	"[-100,100]"	135.161	1.593	2.996	84.8468	45.1138	1.88073	1
600	11056	-6291	-6221	"[-100,100]"	134.017	1.588	2.998	84.3936	44.7021	1.88791	1
600	10969	-6336	-6261	"[-100,100]"	135.76	1.598	2.989	84.9562	45.4199	1.87046	1
600	11035	-6384	-6304	"[-100,100]"	136.106	1.588	2.99	85.7091	45.5204	1.88287	1
600	11136	-6435	-6350	"[-100,100]"	134.39	1.607	2.998	83.6279	44.8266	1.86559	1
600	11049	-6489	-6399	"[-100,100]"	135.56	1.609	3.009	84.2511	45.0515	1.87011	1
600	0	-6546	-6451	"[-100,100]"	135.296	1.607	3.009	84.1917	44.9638	1.87243	1
600	32764	-6606	-6506	"[-100,100]"	134.311	1.587	2.991	84.632	44.905	1.88469	1
600	11056	-6669	-6564	"[-100,100]"	134.815	1.587	2.971	84.9496	45.377	1.87209	1
600	0	-6735	-6625	"[-100,100]"	134.123	1.609	2.994	83.358	44.7973	1.86078	1
600	11055	-6804	-6689	"[-100,100]"	134.487	1.588	2.989	84.6895	44.994	1.88224	1
600	0	-6876	-6756	"[-100,100]"	135.021	1.594	2.993	84.7058	45.1123	1.87767	1
600	10969	-6951	-6826	"[-100,100]"	135.336	1.589	2.985	85.1705	45.3387	1.87854	1
600	0	-7029	-6899	"[-100,100]"	133.955	1.585	2.967	84.5142	45.1483	1.87192	1
600	32764	-7110	-6975	"[-100,100]"	135.522	1.593	2.988	85.0734	45.3554	1.87571	1
600	10923	-7194	-7054	"[-100,100]"	134.257	1.589	2.989	84.4915	44.917	1.88106	1
600	0	-7281	-7136	"[-100,100]"	135.155	1.593	2.994	84.8431	45.142	1.87947	1
700	32764	-7371	-7221	"[-100,100]"	268.922	2.697	5.086	99.7115	52.875	1.8858	1
700	32764	-7374	-7369	"[-100,100]"	269.051	2.708	5.076	99.3541	53.0045	1.87445	1
700	10968	-7380	-7370	"[-100,100]"	267.762	2.712	5.048	98.7323	53.0432	1.86136	1
700	11102	-7389	-7374	"[-100,100]"	267.458	2.701	5.076	99.0218	52.6907	1.8793	1
700	0	-7401	-7381	"[-100,100]"	267.131	2.716	5.116	98.3546	52.2148	1.88365	1
700	32766	-7416	-7391	"[-100,100]"	264.555	2.683	5.07	98.6042	52.1805	1.88968	1
700	32766	-7434	-7404	"[-100,100]"	265.979	2.709	5.088	98.1835	52.2757	1.87818	1
700	10937	-7455	-7420	"[-100,100]"	266.815	2.708	5.056	98.5284	52.772	1.86706	1
700	11052	-7479	-7439	"[-100,100]"	267.55	2.699	5.056	99.1293	52.9173	1.87329	1
700	0	-7506	-7461	"[-100,100]"	266.911	2.711	5.048	98.4548	52.8746	1.86204	1
700	11090	-7536	-7486	"[-100,100]"	268.045	2.717	5.093	98.6548	52.6301	1.87449	1
700	32767	-7569	-7514	"[-100,100]"	271.63	2.709	5.072	100.269	53.5548	1.87228	1
700	0	-7605	-7545	"[-100,100]"	265.857	2.695	5.082	98.6482	52.3135	1.88571	1
700	0	-7644	-7579	"[-100,100]"	267.668	2.694	5.064	99.3571	52.857	1.87973	1
700	0	-7686	-7616	"[-100,100]"	267.899	2.717	5.06	98.601	52.9445	1.86235	1
700	32764	-7731	-7656	"[-100,100]"	265.586	2.706	5.103	98.1471	52.0451	1.88581	1
700	11102	-7779	-7699	"[-100,100]"	266.694	2.705	5.061	98.593	52.6959	1.87098	1
700	0	-7830	-7745	"[-100,100]"	266.222	2.691	5.042	98.9305	52.8009	1.87365	1
700	10986	-7884	-7794	"[-100,100]"	268.164	2.716	5.087	98.7349	52.7155	1.87297	1
700	0	-7941	-7846	"[-100,100]"	265.826	2.639	4.959	100.73	53.6048	1.87912	1
700	32764	-8001	-7901	"[-100,100]"	264.953	2.691	5.086	98.4589	52.0946	1.89	1
700	32766	-8064	-7959	"[-100,100]"	267.476	2.701	5.069	99.0285	52.767	1.87671	1
700	0	-8130	-8020	"[-100,100]"	268.65	2.7	5.078	99.5	52.9047	1.88074	1
700	0	-8199	-8084	"[-100,100]"	266.455	2.701	5.054	98.6505	52.7216	1.87116	1
700	32767	-8271	-8151	"[-100,100]"	265.587	2.691	5.069	98.6945	52.3944	1.88369	1
700	10961	-8346	-8221	"[-100,100]"	267.247	2.706	5.064	98.7609	52.7739	1.8714	1
700	0	-8424	-8294	"[-100,100]"	267.673	2.721	5.085	98.373	52.6397	1.8688	1
700	32767	-8505	-8370	"[-100,100]"	266.908	2.71	5.077	98.49	52.572	1.87343	1
700	0	-8589	-8449	"[-100,100]"	265.207	2.712	5.088	97.7902	52.124	1.87611	1
700	10992	-8676	-8531	"[-100,100]"	265.8	2.694	5.136	98.6637	51.7523	1.90646	1
800	11144	-8766	-8616	"[-100,100]"	496.492	4.488	8.254	110.627	60.1517	1.83913	1
800	32767	-8769	-8764	"[-100,100]"	493.532	4.409	8.173	111.937	60.3857	1.85371	1
800	11035	-8775	-8765	"[-100,100]"	493.327	4.408	8.208	111.916	60.1032	1.86207	1
800	0	-8784	-8769	"[-100,100]"	494.031	4.434	8.218	111.419	60.1157	1.85341	1
800	32766	-8796	-8776	"[-100,100]"	497.834	4.466	8.219	111.472	60.5711	1.84035	1
800	0	-8811	-8786	"[-100,100]"	497.948	4.537	8.346	109.753	59.6631	1.83954	1
800	11009	-8829	-8799	"[-100,100]"	500.92	4.531	8.316	110.554	60.2357	1.83536	1
800	0	-8850	-8815	"[-100,100]"	500.117	4.504	8.305	111.038	60.2188	1.84392	1
800	32767	-8874	-8834	"[-100,100]"	501.448	4.534	8.321	110.597	60.2629	1.83524	1
800	32766	-8901	-8856	"[-100,100]"	502.362	4.544	8.333	110.555	60.2859	1.83385	1
800	0	-8931	-8881	"[-100,100]"	502.658	4.539	8.311	110.742	60.481	1.83102	1
800	0	-8964	-8909	"[-100,100]"	505.112	4.53	8.349	111.504	60.4997	1.84305	1
800	0	-9000	-8940	"[-100,100]"	500.711	4.524	8.353	110.679	59.9439	1.84637	1
800	11135	-9039	-8974	"[-100,100]"	502.949	4.524	8.331	111.174	60.3708	1.84151	1
800	0	-9081	-9011	"[-100,100]"	499.168	4.54	8.322	109.949	59.9817	1.83304	1
800	0	-9126	-9051	"[-100,100]"	502.035	4.502	8.301	111.514	60.4789	1.84385	1
800	11169	-9174	-9094	"[-100,100]"	500.262	4.539	8.325	110.214	60.0915	1.8341	1
800	32766	-9225	-9140	"[-100,100]"	500.246	4.464	8.204	112.062	60.9759	1.83781	1
800	32767	-9279	-9189	"[-100,100]"	499.859	4.53	8.226	110.344	60.7657	1.81589	1
800	0	-9336	-9241	"[-100,100]"	502.443	4.539	8.247	110.695	60.9243	1.81692	1
800	0	-9396	-9296	"[-100,100]"	502.672	4.554	8.274	110.38	60.7532	1.81686	1
800	0	-9459	-9354	"[-100,100]"	502.921	4.544	8.284	110.678	60.7099	1.82306	1
800	32767	-9525	-9415	"[-100,100]"	502.378	4.626	8.251	108.599	60.8869	1.78361	1
800	0	-9594	-9479	"[-100,100]"	502.064	4.493	8.231	111.744	60.9967	1.83196	1
800	0	-9666	-9546	"[-100,100]"	505.349	4.533	8.286	111.482	60.9883	1.82793	1
800	0	-9741	-9616	"[-100,100]"	502.458	4.553	8.269	110.358	60.7641	1.81617	1
800	32765	-9819	-9689	"[-100,100]"	504.126	4.552	8.243	110.748	61.1581	1.81085	1
800	0	-9900	-9765	"[-100,100]"	497.921	4.432	8.125	112.347	61.2826	1.83326	1
800	32766	-9984	-9844	"[-100,100]"	494.135	4.443	8.211	111.217	60.1796	1.84808	1
800	0	-10071	-9926	"[-100,100]"	497.04	4.47	8.232	111.195	60.379	1.84161	1
900	11109	-10161	-10011	"[-100,100]"	853.111	6.904	12.573	123.568	67.8526	1.82112	1
900	0	-10164	-10159	"[-100,100]"	860.369	6.909	12.57	124.529	68.4462	1.81937	1
900	11007	-10170	-10160	"[-100,100]"	861.04	6.905	12.599	124.698	68.3419	1.82462	1
900	0	-10179	-10164	"[-100,100]"	854.955	6.887	12.571	124.14	68.0101	1.82532	1
900	0	-10191	-10171	"[-100,100]"	855.724	6.915	12.572	123.749	68.0659	1.81808	1
900	32765	-10206	-10181	"[-100,100]"	859.228	6.885	12.535	124.797	68.5463	1.82062	1
900	10934	-10224	-10194	"[-100,100]"	857.842	6.881	12.579	124.668	68.1964	1.82808	1
900	0	-10245	-10210	"[-100,100]"	857.91	6.887	12.564	124.569	68.2832	1.82431	1
900	0	-10269	-10229	"[-100,100]"	852.053	6.944	12.55	122.703	67.8927	1.80732	1
900	0	-10296	-10251	"[-100,100]"	851.804	6.941	12.533	122.721	67.9649	1.80565	1
900	0	-10326	-10276	"[-100,100]"	857.001	6.878	12.551	124.6	68.2815	1.8248	1
900	0	-10359	-10304	"[-100,100]"	857.765	6.892	12.575	124.458	68.2119	1.82458	1
900	0	-10395	-10335	"[-100,100]"	859.78	6.901	12.574	124.588	68.3776	1.82205	1
900	0	-10434	-10369	"[-100,100]"	854.152	6.863	12.521	124.458	68.2176	1.82442	1
900	0	-10476	-10406	"[-100,100]"	855.351	6.929	12.508	123.445	68.3843	1.80517	1
900	32765	-10521	-10446	"[-100,100]"	860.864	6.911	12.568	124.564	68.4965	1.81855	1
900	32765	-10569	-10489	"[-100,100]"	850.703	6.903	12.535	123.237	67.8662	1.81588	1
900	11163	-10620	-10535	"[-100,100]"	857.595	6.891	12.556	124.451	68.3016	1.82209	1
900	0	-10674	-10584	"[-100,100]"	854.28	6.93	12.526	123.273	68.2005	1.8075	1
900	11163	-10731	-10636	"[-100,100]"	855.4	6.881	12.577	124.313	68.013	1.82779	1
900	32764	-10791	-10691	"[-100,100]"	858.733	6.94	12.577	123.737	68.278	1.81225	1
900	32765	-10854	-10749	"[-100,100]"	855.802	6.894	12.65	124.137	67.6523	1.83493	1
900	0	-10920	-10810	"[-100,100]"	855.214	6.897	12.634	123.998	67.6915	1.83181	1
900	0	-10989	-10874	"[-100,100]"	856.163	6.904	12.588	124.01	68.0142	1.82329	1
900	0	-11061	-10941	"[-100,100]"	859.753	6.951	12.619	123.688	68.1316	1.81542	1
900	0	-11136	-11011	"[-100,100]"	860.599	6.943	12.624	123.952	68.1717	1.81823	1
900	32765	-11214	-11084	"[-100,100]"	854.027	6.908	12.542	123.629	68.0934	1.81558	1
900	0	-11295	-11160	"[-100,100]"	857.008	6.892	12.713	124.348	67.4119	1.8446	1
900	0	-11379	-11239	"[-100,100]"	855.689	6.892	12.543	124.157	68.2204	1.81994	1
900	0	-11466	-11321	"[-100,100]"	854.415	6.928	12.558	123.328	68.0375	1.81264	1
1000	32767	-11556	-11406	"[-100,100]"	1405.05	10.278	18.534	136.704	75.8092	1.80327	1
1000	0	-11559	-11554	"[-100,100]"	1402.39	10.203	18.487	137.449	75.8584	1.81192	1
1000	0	-11565	-11555	"[-100,100]"	1406.49	10.282	18.428	136.791	76.3234	1.79226	1
1000	0	-11574	-11559	"[-100,100]"	1400.67	10.277	18.5	136.292	75.7119	1.80014	1
1000	32766	-11586	-11566	"[-100,100]"	1409.88	10.271	18.467	137.268	76.3459	1.79797	1
1000	10936	-11601	-11576	"[-100,100]"	1400.93	10.207	18.484	137.252	75.7916	1.81091	1
1000	10993	-11619	-11589	"[-100,100]"	1405.31	10.285	18.5	136.636	75.9625	1.79874	1
1000	0	-11640	-11605	"[-100,100]"	1401.28	10.348	18.874	135.416	74.244	1.82393	1
1000	32767	-11664	-11624	"[-100,100]"	1418.23	10.22	18.738	138.77	75.6874	1.83346	1
1000	11014	-11691	-11646	"[-100,100]"	1416.69	10.219	18.694	138.633	75.7834	1.82934	1
