Dimen	Up_Idx_1	Up_Idx_2	SC2_calls	Seed1	Seed2	"[lb,ub]"	REF-LU(A)_s	ROU_s	REF-LU(Ah)	Speedup(A)	Speedup(Ah)	Check
16	-1	-1	0	-2878	-2728	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2881	-2876	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2887	-2877	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2896	-2881	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2908	-2888	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2923	-2898	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2941	-2911	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2962	-2927	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-2986	-2946	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3013	-2968	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3043	-2993	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3076	-3021	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3112	-3052	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3151	-3086	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3193	-3123	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3238	-3163	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3286	-3206	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3337	-3252	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3391	-3301	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3448	-3353	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3508	-3408	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3571	-3466	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3637	-3527	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3706	-3591	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3778	-3658	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3853	-3728	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-3931	-3801	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-4012	-3877	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-4096	-3956	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	-1	-1	0	-4183	-4038	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
32	-1	-1	0	-4273	-4123	"[-100,100]"	0.002	0.001	0.002	2	2	1
32	-1	-1	0	-4276	-4271	"[-100,100]"	0.002	0.001	0.002	2	2	1
32	-1	-1	0	-4282	-4272	"[-100,100]"	0.002	0.001	0.002	2	2	1
32	-1	-1	0	-4291	-4276	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4303	-4283	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4318	-4293	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4336	-4306	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4357	-4322	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4381	-4341	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4408	-4363	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4438	-4388	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4471	-4416	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4507	-4447	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4546	-4481	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4588	-4518	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4633	-4558	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4681	-4601	"[-100,100]"	0.003	0.001	0.002	3	2	1
32	-1	-1	0	-4732	-4647	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4786	-4696	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4843	-4748	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4903	-4803	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-4966	-4861	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5032	-4922	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5101	-4986	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5173	-5053	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5248	-5123	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5326	-5196	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5407	-5272	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5491	-5351	"[-100,100]"	0.001	0	0.001	inf	inf	1
32	-1	-1	0	-5578	-5433	"[-100,100]"	0.001	0	0.001	inf	inf	1
64	-1	-1	0	-5668	-5518	"[-100,100]"	0.018	0.004	0.018	4.5	4.5	1
64	-1	-1	0	-5671	-5666	"[-100,100]"	0.017	0.004	0.018	4.25	4.5	1
64	-1	-1	0	-5677	-5667	"[-100,100]"	0.03	0.006	0.024	5	4	1
64	-1	-1	0	-5686	-5671	"[-100,100]"	0.021	0.004	0.019	5.25	4.75	1
64	-1	-1	0	-5698	-5678	"[-100,100]"	0.017	0.004	0.017	4.25	4.25	1
64	-1	-1	0	-5713	-5688	"[-100,100]"	0.017	0.004	0.017	4.25	4.25	1
64	-1	-1	0	-5731	-5701	"[-100,100]"	0.017	0.004	0.017	4.25	4.25	1
