Dimen	Up_Idx_1	Up_Idx_2	SC2_calls	Seed1	Seed2	"[lb,ub]"	REF-LU(A)_s	ROU_s	REF-LU(Ah)	Speedup(A)	Speedup(Ah)	Check
16	15	16	1	-14503	-14413	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	1	8	7	-14505	-14502	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	1	8	7	-14509	-14503	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	11	16	5	-14515	-14506	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	4	16	12	-14523	-14511	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	1	11	10	-14533	-14518	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	5	10	5	-14545	-14527	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	2	11	9	-14559	-14538	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	12	14	2	-14575	-14551	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	1	11	10	-14593	-14566	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	10	11	1	-14613	-14583	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	2	14	12	-14635	-14602	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	10	11	1	-14659	-14623	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	1	7	6	-14685	-14646	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	8	15	7	-14713	-14671	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	2	10	8	-14743	-14698	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	8	8	0	-14775	-14727	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	9	14	5	-14809	-14758	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	12	15	3	-14845	-14791	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	16	16	0	-14883	-14826	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	9	10	1	-14923	-14863	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	4	4	0	-14965	-14902	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	1	7	6	-15009	-14943	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	6	6	0	-15055	-14986	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	5	14	9	-15103	-15031	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	4	6	2	-15153	-15078	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	10	13	3	-15205	-15127	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	3	7	4	-15259	-15178	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	12	12	0	-15315	-15231	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
16	6	9	3	-15373	-15286	"[-100,100]"	0	0	0	#NAME?	#NAME?	1
32	23	28	5	-15433	-15343	"[-100,100]"	0.002	0.001	0.002	2	2	1
32	17	28	11	-15435	-15432	"[-100,100]"	0.002	0.001	0.002	2	2	1
32	28	31	3	-15439	-15433	"[-100,100]"	0.002	0.001	0.002	2	2	1
32	12	12	0	-15445	-15436	"[-100,100]"	0.002	0.001	0.002	2	2	1
32	13	15	2	-15453	-15441	"[-100,100]"	0.001	0.001	0.001	1	1	1
32	9	30	21	-15463	-15448	"[-100,100]"	0.001	0.001	0.001	1	1	1
32	4	18	14	-15475	-15457	"[-100,100]"	0.001	0.001	0.001	1	1	1
32	3	25	22	-15489	-15468	"[-100,100]"	0.001	0.001	0.001	1	1	1
32	15	21	6	-15505	-15481	"[-100,100]"	0.001	0.001	0.001	1	1	1
32	17	18	1	-15523	-15496	"[-100,100]"	0.001	0.001	0.001	1	1	1
32	12	25	13	-15543	-15513	"[-100,100]"	0.001	0.001	0.001	1	1	1
32	19	28	9	-15565	-15532	"[-100,100]"	0.001	0.001	0.001	1	1	1
